x,y
1.000000000000000000e+00,2.062777057290077209e-03
9.743589758872985840e-01,5.821134429425001144e-03
9.487179517745971680e-01,9.996401146054267883e-03
9.230769276618957520e-01,1.383805088698863983e-02
8.974359035491943359e-01,1.799678988754749298e-02
8.717948794364929199e-01,2.159910276532173157e-02
8.461538553237915039e-01,2.539927326142787933e-02
8.205128312110900879e-01,2.930596843361854553e-02
7.948718070983886719e-01,3.315903618931770325e-02
7.692307829856872559e-01,3.644361346960067749e-02
7.435897588729858398e-01,4.009953513741493225e-02
7.179487347602844238e-01,4.354514926671981812e-02
6.923077106475830078e-01,4.635219275951385498e-02
6.666666865348815918e-01,4.956234246492385864e-02
6.410256624221801758e-01,5.208751559257507324e-02
6.153846383094787598e-01,5.463910475373268127e-02
5.897436141967773438e-01,5.735995993018150330e-02
5.641025900840759277e-01,5.923003703355789185e-02
5.384615659713745117e-01,6.112786382436752319e-02
5.128205418586730957e-01,6.291235983371734619e-02
4.871794879436492920e-01,6.447020173072814941e-02
4.615384638309478760e-01,6.560198217630386353e-02
4.358974397182464600e-01,6.672893464565277100e-02
4.102564156055450439e-01,6.745979934930801392e-02
3.846153914928436279e-01,6.755998730659484863e-02
3.589743673801422119e-01,6.764460355043411255e-02
3.333333432674407959e-01,6.736355274915695190e-02
3.076923191547393799e-01,6.706190109252929688e-02
2.820512950420379639e-01,6.605733931064605713e-02
2.564102709293365479e-01,6.512456387281417847e-02
2.307692319154739380e-01,6.356761604547500610e-02
2.051282078027725220e-01,6.202791631221771240e-02
1.794871836900711060e-01,5.972110107541084290e-02
1.538461595773696899e-01,5.690758675336837769e-02
1.282051354646682739e-01,5.319843441247940063e-02
1.025641039013862610e-01,4.881184548139572144e-02
7.692307978868484497e-02,4.322723299264907837e-02
5.128205195069313049e-02,3.557645529508590698e-02
2.564102597534656525e-02,2.518111281096935272e-02
0.000000000000000000e+00,4.869790282100439072e-04
0.000000000000000000e+00,3.256538184359669685e-04
2.564102597534656525e-02,-1.441772375255823135e-02
5.128205195069313049e-02,-1.920563355088233948e-02
7.692307978868484497e-02,-2.252146229147911072e-02
1.025641039013862610e-01,-2.476005069911479950e-02
1.282051354646682739e-01,-2.654372155666351318e-02
1.538461595773696899e-01,-2.820893749594688416e-02
1.794871836900711060e-01,-2.923820167779922485e-02
2.051282078027725220e-01,-3.037855774164199829e-02
2.307692319154739380e-01,-3.101874887943267822e-02
2.564102709293365479e-01,-3.143370151519775391e-02
2.820512950420379639e-01,-3.138719499111175537e-02
3.076923191547393799e-01,-3.151541948318481445e-02
3.333333432674407959e-01,-3.155073523521423340e-02
3.589743673801422119e-01,-3.095315583050251007e-02
3.846153914928436279e-01,-3.103288449347019196e-02
4.102564156055450439e-01,-2.991181239485740662e-02
4.358974397182464600e-01,-2.929035574197769165e-02
4.615384638309478760e-01,-2.832047641277313232e-02
4.871794879436492920e-01,-2.721690014004707336e-02
5.128205418586730957e-01,-2.608729153871536255e-02
5.384615659713745117e-01,-2.464137226343154907e-02
5.641025900840759277e-01,-2.341592870652675629e-02
5.897436141967773438e-01,-2.212206833064556122e-02
6.153846383094787598e-01,-2.044178918004035950e-02
6.410256624221801758e-01,-1.881512254476547241e-02
6.666666865348815918e-01,-1.709392853081226349e-02
6.923077106475830078e-01,-1.526562031358480453e-02
7.179487347602844238e-01,-1.364032924175262451e-02
7.435897588729858398e-01,-1.177587173879146576e-02
7.692307829856872559e-01,-1.013637520372867584e-02
7.948718070983886719e-01,-8.660709485411643982e-03
8.205128312110900879e-01,-6.933922879397869110e-03
8.461538553237915039e-01,-5.518703255802392960e-03
8.717948794364929199e-01,-4.229895770549774170e-03
8.974359035491943359e-01,-2.877429593354463577e-03
9.230769276618957520e-01,-2.004818525165319443e-03
9.487179517745971680e-01,-9.817968821153044701e-04
9.743589758872985840e-01,-3.281575627624988556e-04
1.000000000000000000e+00,1.992307370528578758e-04
