x,y
0.000000000000000000e+00,-7.338263094425201416e-04
2.564102597534656525e-02,-5.536653101444244385e-03
5.128205195069313049e-02,-1.056545972824096680e-02
7.692307978868484497e-02,-1.408472564071416855e-02
1.025641039013862610e-01,-1.721856743097305298e-02
1.282051354646682739e-01,-2.130451239645481110e-02
1.538461595773696899e-01,-2.526813186705112457e-02
1.794871836900711060e-01,-2.795248292386531830e-02
2.051282078027725220e-01,-3.050148487091064453e-02
2.307692319154739380e-01,-3.282956033945083618e-02
2.564102709293365479e-01,-3.414320945739746094e-02
2.820512950420379639e-01,-3.431944921612739563e-02
3.076923191547393799e-01,-3.762663900852203369e-02
3.333333432674407959e-01,-3.847499564290046692e-02
3.589743673801422119e-01,-3.931223228573799133e-02
3.846153914928436279e-01,-3.959087282419204712e-02
4.102564156055450439e-01,-4.089669883251190186e-02
4.358974397182464600e-01,-3.930185362696647644e-02
4.615384638309478760e-01,-3.922849521040916443e-02
4.871794879436492920e-01,-3.873365372419357300e-02
5.128205418586730957e-01,-3.823940455913543701e-02
5.384615659713745117e-01,-3.748861700296401978e-02
5.641025900840759277e-01,-3.593645244836807251e-02
5.897436141967773438e-01,-3.530653938651084900e-02
6.153846383094787598e-01,-3.303489089012145996e-02
6.410256624221801758e-01,-3.056350164115428925e-02
6.666666865348815918e-01,-2.971355058252811432e-02
6.923077106475830078e-01,-2.687446959316730499e-02
7.179487347602844238e-01,-2.497059106826782227e-02
7.435897588729858398e-01,-2.079034037888050079e-02
7.692307829856872559e-01,-1.812614873051643372e-02
7.948718070983886719e-01,-1.436465606093406677e-02
8.205128312110900879e-01,-1.169295608997344971e-02
8.461538553237915039e-01,-8.055754005908966064e-03
8.717948794364929199e-01,-4.592578858137130737e-03
8.974359035491943359e-01,5.110502243041992188e-04
9.230769276618957520e-01,1.513823866844177246e-03
9.487179517745971680e-01,4.084937274456024170e-03
9.743589758872985840e-01,6.540501490235328674e-03
1.000000000000000000e+00,-2.794121624901890755e-03
1.000000000000000000e+00,-2.166256308555603027e-05
9.743589758872985840e-01,-8.802428841590881348e-03
9.487179517745971680e-01,-1.671075820922851562e-02
9.230769276618957520e-01,-2.370145171880722046e-02
8.974359035491943359e-01,-2.867046743631362915e-02
8.717948794364929199e-01,-3.400745987892150879e-02
8.461538553237915039e-01,-3.857149183750152588e-02
8.205128312110900879e-01,-4.275465011596679688e-02
7.948718070983886719e-01,-4.748055338859558105e-02
7.692307829856872559e-01,-5.101694166660308838e-02
7.435897588729858398e-01,-5.346263945102691650e-02
7.179487347602844238e-01,-5.726194381713867188e-02
6.923077106475830078e-01,-5.967608094215393066e-02
6.666666865348815918e-01,-6.261479854583740234e-02
6.410256624221801758e-01,-6.497856974601745605e-02
6.153846383094787598e-01,-6.670513749122619629e-02
5.897436141967773438e-01,-6.911978125572204590e-02
5.641025900840759277e-01,-6.990562379360198975e-02
5.384615659713745117e-01,-7.037669420242309570e-02
5.128205418586730957e-01,-7.186821103096008301e-02
4.871794879436492920e-01,-7.142868638038635254e-02
4.615384638309478760e-01,-7.119858264923095703e-02
4.358974397182464600e-01,-7.180553674697875977e-02
4.102564156055450439e-01,-7.174679636955261230e-02
3.846153914928436279e-01,-7.139472663402557373e-02
3.589743673801422119e-01,-7.060697674751281738e-02
3.333333432674407959e-01,-7.001410424709320068e-02
3.076923191547393799e-01,-6.866307556629180908e-02
2.820512950420379639e-01,-6.643027067184448242e-02
2.564102709293365479e-01,-6.531831622123718262e-02
2.307692319154739380e-01,-6.297591328620910645e-02
2.051282078027725220e-01,-6.045398116111755371e-02
1.794871836900711060e-01,-5.813763290643692017e-02
1.538461595773696899e-01,-5.440181493759155273e-02
1.282051354646682739e-01,-5.107643455266952515e-02
1.025641039013862610e-01,-4.645491391420364380e-02
7.692307978868484497e-02,-4.065183550119400024e-02
5.128205195069313049e-02,-3.229147195816040039e-02
2.564102597534656525e-02,-2.352020144462585449e-02
0.000000000000000000e+00,-3.786563873291015625e-03
