x,y
1.000000000000000000e+00,-6.562024354934692383e-04
9.743589758872985840e-01,9.723231196403503418e-03
9.487179517745971680e-01,1.883216015994548798e-02
9.230769276618957520e-01,2.707296796143054962e-02
8.974359035491943359e-01,3.501236438751220703e-02
8.717948794364929199e-01,4.118343070149421692e-02
8.461538553237915039e-01,4.728658869862556458e-02
8.205128312110900879e-01,5.333858728408813477e-02
7.948718070983886719e-01,5.912047252058982849e-02
7.692307829856872559e-01,6.345349550247192383e-02
7.435897588729858398e-01,6.826923787593841553e-02
7.179487347602844238e-01,7.243178039789199829e-02
6.923077106475830078e-01,7.686106860637664795e-02
6.666666865348815918e-01,8.047565817832946777e-02
6.410256624221801758e-01,8.367920666933059692e-02
6.153846383094787598e-01,8.696678280830383301e-02
5.897436141967773438e-01,8.965267241001129150e-02
5.641025900840759277e-01,9.147970378398895264e-02
5.384615659713745117e-01,9.367295354604721069e-02
5.128205418586730957e-01,9.543049335479736328e-02
4.871794879436492920e-01,9.714487195014953613e-02
4.615384638309478760e-01,9.810102730989456177e-02
4.358974397182464600e-01,9.879246354103088379e-02
4.102564156055450439e-01,9.948609769344329834e-02
3.846153914928436279e-01,1.000586301088333130e-01
3.589743673801422119e-01,9.991803765296936035e-02
3.333333432674407959e-01,9.930192679166793823e-02
3.076923191547393799e-01,9.877941012382507324e-02
2.820512950420379639e-01,9.734386205673217773e-02
2.564102709293365479e-01,9.601090103387832642e-02
2.307692319154739380e-01,9.407460689544677734e-02
2.051282078027725220e-01,9.156928211450576782e-02
1.794871836900711060e-01,8.804412931203842163e-02
1.538461595773696899e-01,8.361253142356872559e-02
1.282051354646682739e-01,7.767374813556671143e-02
1.025641039013862610e-01,7.063245028257369995e-02
7.692307978868484497e-02,6.189922243356704712e-02
5.128205195069313049e-02,5.021211877465248108e-02
2.564102597534656525e-02,3.427636995911598206e-02
0.000000000000000000e+00,5.783751606941223145e-03
0.000000000000000000e+00,6.125155836343765259e-03
2.564102597534656525e-02,-4.901778884232044220e-03
5.128205195069313049e-02,-4.633060656487941742e-03
7.692307978868484497e-02,-2.841986715793609619e-03
1.025641039013862610e-01,-5.763135850429534912e-04
1.282051354646682739e-01,2.930099144577980042e-03
1.538461595773696899e-01,6.416955962777137756e-03
1.794871836900711060e-01,9.744174778461456299e-03
2.051282078027725220e-01,1.264572888612747192e-02
2.307692319154739380e-01,1.540669612586498260e-02
2.564102709293365479e-01,1.845211908221244812e-02
2.820512950420379639e-01,2.117170393466949463e-02
3.076923191547393799e-01,2.421532943844795227e-02
3.333333432674407959e-01,2.676584199070930481e-02
3.589743673801422119e-01,2.950759232044219971e-02
3.846153914928436279e-01,3.185720741748809814e-02
4.102564156055450439e-01,3.432326018810272217e-02
4.358974397182464600e-01,3.585858643054962158e-02
4.615384638309478760e-01,3.756330534815788269e-02
4.871794879436492920e-01,3.897266462445259094e-02
5.128205418586730957e-01,4.011045396327972412e-02
5.384615659713745117e-01,4.052305221557617188e-02
5.641025900840759277e-01,4.105714708566665649e-02
5.897436141967773438e-01,4.165610298514366150e-02
6.153846383094787598e-01,4.144877567887306213e-02
6.410256624221801758e-01,4.126312211155891418e-02
6.666666865348815918e-01,4.065908864140510559e-02
6.923077106475830078e-01,3.976409882307052612e-02
7.179487347602844238e-01,3.835170716047286987e-02
7.435897588729858398e-01,3.631048649549484253e-02
7.692307829856872559e-01,3.444324806332588196e-02
7.948718070983886719e-01,3.236800432205200195e-02
8.205128312110900879e-01,2.955618500709533691e-02
8.461538553237915039e-01,2.609629370272159576e-02
8.717948794364929199e-01,2.295559644699096680e-02
8.974359035491943359e-01,1.934641227126121521e-02
9.230769276618957520e-01,1.456774398684501648e-02
9.487179517745971680e-01,9.409824386239051819e-03
9.743589758872985840e-01,3.314946545287966728e-03
1.000000000000000000e+00,-2.833342412486672401e-03
