x,y
0.000000000000000000e+00,-2.196000000000000035e-03
2.564100000000000060e-02,-1.544799999999999993e-02
5.128200000000000119e-02,-3.260400000000000104e-02
7.692300000000000526e-02,-4.369300000000000267e-02
1.025640000000000024e-01,-6.158899999999999791e-02
1.282050000000000134e-01,-6.529400000000000481e-02
1.538460000000000105e-01,-7.469299999999999551e-02
1.794870000000000076e-01,-7.738599999999999646e-02
2.051280000000000048e-01,-8.232799999999999840e-02
2.307690000000000019e-01,-8.329400000000000692e-02
2.564100000000000268e-01,-8.406199999999999783e-02
2.820509999999999962e-01,-8.213399999999999868e-02
3.076920000000000210e-01,-8.050000000000000211e-02
3.333329999999999904e-01,-7.599999999999999811e-02
3.589740000000000153e-01,-7.107399999999999829e-02
3.846149999999999847e-01,-6.700299999999999312e-02
4.102560000000000096e-01,-6.147999999999999993e-02
4.358969999999999789e-01,-5.501099999999999740e-02
4.615380000000000038e-01,-4.848700000000000232e-02
4.871789999999999732e-01,-4.577799999999999925e-02
5.128209999999999713e-01,-3.549399999999999777e-02
5.384619999999999962e-01,-2.829200000000000118e-02
5.641030000000000211e-01,-2.041700000000000112e-02
5.897440000000000460e-01,-1.243700000000000014e-02
6.153849999999999598e-01,-4.001000000000000216e-03
6.410259999999999847e-01,-2.037000000000000182e-03
6.666670000000000096e-01,5.211000000000000354e-03
6.923080000000000345e-01,9.523000000000000215e-03
7.179489999999999483e-01,1.216099999999999993e-02
7.435899999999999732e-01,1.401600000000000068e-02
7.692309999999999981e-01,1.473600000000000083e-02
7.948720000000000230e-01,1.170400000000000086e-02
8.205130000000000479e-01,5.557999999999999573e-03
8.461539999999999617e-01,4.716999999999999839e-03
8.717949999999999866e-01,2.213999999999999822e-03
8.974360000000000115e-01,2.658000000000000206e-03
9.230770000000000364e-01,1.882999999999999908e-03
9.487179999999999502e-01,-4.703999999999999848e-03
9.743589999999999751e-01,-5.904000000000000394e-03
1.000000000000000000e+00,8.300000000000000086e-03
1.000000000000000000e+00,1.023899999999999984e-02
9.743589999999999751e-01,1.648300000000000112e-02
9.487179999999999502e-01,1.614200000000000010e-02
9.230770000000000364e-01,1.962500000000000008e-02
8.974360000000000115e-01,1.861300000000000107e-02
8.717949999999999866e-01,1.929600000000000065e-02
8.461539999999999617e-01,2.485199999999999909e-02
8.205130000000000479e-01,2.904899999999999843e-02
7.948720000000000230e-01,3.459399999999999975e-02
7.692309999999999981e-01,3.845699999999999813e-02
7.435899999999999732e-01,4.323899999999999966e-02
7.179489999999999483e-01,4.791999999999999732e-02
6.923080000000000345e-01,5.045700000000000185e-02
6.666670000000000096e-01,5.988299999999999873e-02
6.410259999999999847e-01,7.051499999999999435e-02
6.153849999999999598e-01,7.376800000000000024e-02
5.897440000000000460e-01,8.138299999999999701e-02
5.641030000000000211e-01,8.457599999999999840e-02
5.384619999999999962e-01,9.331799999999999817e-02
5.128209999999999713e-01,1.027850000000000014e-01
4.871789999999999732e-01,1.041939999999999950e-01
4.615380000000000038e-01,1.126489999999999991e-01
4.358969999999999789e-01,1.194149999999999934e-01
4.102560000000000096e-01,1.250950000000000117e-01
3.846149999999999847e-01,1.333950000000000136e-01
3.589740000000000153e-01,1.381360000000000088e-01
3.333329999999999904e-01,1.432479999999999865e-01
3.076920000000000210e-01,1.520960000000000090e-01
2.820509999999999962e-01,1.565509999999999957e-01
2.564100000000000268e-01,1.622589999999999866e-01
2.307690000000000019e-01,1.617490000000000039e-01
2.051280000000000048e-01,1.675580000000000125e-01
1.794870000000000076e-01,1.666990000000000138e-01
1.538460000000000105e-01,1.627750000000000030e-01
1.282050000000000134e-01,1.544500000000000040e-01
1.025640000000000024e-01,1.445510000000000128e-01
7.692300000000000526e-02,1.291180000000000105e-01
5.128200000000000119e-02,1.056180000000000035e-01
2.564100000000000060e-02,7.301100000000000645e-02
0.000000000000000000e+00,7.007000000000000207e-03
