x,y
1.000000000000000000e+00,3.730957396328449249e-03
9.743589758872985840e-01,1.460969820618629456e-02
9.487179517745971680e-01,2.116985432803630829e-02
9.230769276618957520e-01,2.661729790270328522e-02
8.974359035491943359e-01,3.128028661012649536e-02
8.717948794364929199e-01,3.564417362213134766e-02
8.461538553237915039e-01,4.061860591173171997e-02
8.205128312110900879e-01,4.414853826165199280e-02
7.948718070983886719e-01,4.818316921591758728e-02
7.692307829856872559e-01,5.162257701158523560e-02
7.435897588729858398e-01,5.528862029314041138e-02
7.179487347602844238e-01,5.897260457277297974e-02
6.923077106475830078e-01,6.232431530952453613e-02
6.666666865348815918e-01,6.461870670318603516e-02
6.410256624221801758e-01,6.852414458990097046e-02
6.153846383094787598e-01,7.035645842552185059e-02
5.897436141967773438e-01,7.253281027078628540e-02
5.641025900840759277e-01,7.467843592166900635e-02
5.384615659713745117e-01,7.697412371635437012e-02
5.128205418586730957e-01,7.839883863925933838e-02
4.871794879436492920e-01,8.000534772872924805e-02
4.615384638309478760e-01,8.193282037973403931e-02
4.358974397182464600e-01,8.261491358280181885e-02
4.102564156055450439e-01,8.409775793552398682e-02
3.846153914928436279e-01,8.537800610065460205e-02
3.589743673801422119e-01,8.565418422222137451e-02
3.333333432674407959e-01,8.597719669342041016e-02
3.076923191547393799e-01,8.542326092720031738e-02
2.820512950420379639e-01,8.527905493974685669e-02
2.564102709293365479e-01,8.488020300865173340e-02
2.307692319154739380e-01,8.427126705646514893e-02
2.051282078027725220e-01,8.317156136035919189e-02
1.794871836900711060e-01,8.101359009742736816e-02
1.538461595773696899e-01,7.880149036645889282e-02
1.282051354646682739e-01,7.513465732336044312e-02
1.025641039013862610e-01,7.067285478115081787e-02
7.692307978868484497e-02,6.404344737529754639e-02
5.128205195069313049e-02,5.611544102430343628e-02
2.564102597534656525e-02,4.421047866344451904e-02
0.000000000000000000e+00,2.040047943592071533e-02
0.000000000000000000e+00,1.956864073872566223e-02
2.564102597534656525e-02,1.583834923803806305e-02
5.128205195069313049e-02,1.833013258874416351e-02
7.692307978868484497e-02,2.035098150372505188e-02
1.025641039013862610e-01,2.447133883833885193e-02
1.282051354646682739e-01,2.743049897253513336e-02
1.538461595773696899e-01,3.115512430667877197e-02
1.794871836900711060e-01,3.541322797536849976e-02
2.051282078027725220e-01,3.980081900954246521e-02
2.307692319154739380e-01,4.311864078044891357e-02
2.564102709293365479e-01,4.660512506961822510e-02
2.820512950420379639e-01,4.870165884494781494e-02
3.076923191547393799e-01,5.122209340333938599e-02
3.333333432674407959e-01,5.325917527079582214e-02
3.589743673801422119e-01,5.418401956558227539e-02
3.846153914928436279e-01,5.606906861066818237e-02
4.102564156055450439e-01,5.599072948098182678e-02
4.358974397182464600e-01,5.663435906171798706e-02
4.615384638309478760e-01,5.683065578341484070e-02
4.871794879436492920e-01,5.659919604659080505e-02
5.128205418586730957e-01,5.640783905982971191e-02
5.384615659713745117e-01,5.494803935289382935e-02
5.641025900840759277e-01,5.453543365001678467e-02
5.897436141967773438e-01,5.353783816099166870e-02
6.153846383094787598e-01,5.204311758279800415e-02
6.410256624221801758e-01,5.000417307019233704e-02
6.666666865348815918e-01,4.749868437647819519e-02
6.923077106475830078e-01,4.482117667794227600e-02
7.179487347602844238e-01,4.231749475002288818e-02
7.435897588729858398e-01,4.026389122009277344e-02
7.692307829856872559e-01,3.808311372995376587e-02
7.948718070983886719e-01,3.572253510355949402e-02
8.205128312110900879e-01,3.157757222652435303e-02
8.461538553237915039e-01,2.808643504977226257e-02
8.717948794364929199e-01,2.460551448166370392e-02
8.974359035491943359e-01,2.056464180350303650e-02
9.230769276618957520e-01,1.810471899807453156e-02
9.487179517745971680e-01,1.421284396201372147e-02
9.743589758872985840e-01,9.994673542678356171e-03
1.000000000000000000e+00,5.709095858037471771e-03
